"x","q","value"
-1.4986,0.01,0
-1.46125,0.01,0.0475443350924741
-1.424775,0.01,0
-1.38915,0.01,0.024920255183413
-1.354325,0.01,0
-1.32025,0.01,0.0780883960643452
-1.2869,0.01,0
-1.254225,0.01,0
-1.2222,0.01,0
-1.190825,0.01,0.0282509817216148
-1.16005,0.01,0.0575208513085994
-1.1298,0.01,0.0292397660818713
-1.1001,0.01,0
-1.070925,0.01,0.0303002757325091
-1.042225,0.01,0.0308327937594427
-1.014,0.01,0.031328320802005
-0.986375,0.01,0
-0.9593,0.01,0.0326094045522728
-0.932575,0.01,0.0330392837083294
-0.906175,0.01,0
-0.880075,0.01,0.0338031977825105
-0.85425,0.01,0.0341320226636628
-0.8287,0.01,0
-0.8034,0.01,0.0696184906711223
-0.7783,0.01,0
-0.7534,0.01,0.0353706847764572
-0.7287,0.01,0.0356582513193554
-0.704175,0.01,0.0358770135973882
-0.6798,0.01,0.0360984766442853
-0.655575,0.01,0
-0.63145,0.01,0
-0.6074,0.01,0
-0.58345,0.01,0.0367026352492108
-0.559575,0.01,0.0367795799771968
-0.535725,0.01,0
-0.5119,0.01,0
-0.4881,0.01,0
-0.4643,0.01,0
-0.440475,0.01,0
-0.41665,0.01,0
-0.39285,0.01,0.0368568480023585
-0.36905,0.01,0.0737136960047179
-0.34525,0.01,0
-0.321425,0.01,0.0367795799771967
-0.2976,0.01,0
-0.2738,0.01,0.0368568480023585
-0.25,0.01,0.0368568480023589
-0.2262,0.01,0
-0.2024,0.01,0
-0.178575,0.01,0.0367795799771967
-0.15475,0.01,0
-0.13095,0.01,0.0368568480023589
-0.10715,0.01,0.0368568480023589
-0.0833500000000001,0.01,0.0368568480023589
-0.059525,0.01,0
-0.0356999999999999,0.01,0.0737136960047179
-0.0119,0.01,0
0.0119,0.01,0
0.0356999999999999,0.01,0.0368568480023589
0.059525,0.01,0.110338739931589
0.0833500000000001,0.01,0
0.10715,0.01,0
0.13095,0.01,0
0.15475,0.01,0.0737136960047179
0.178575,0.01,0.0367795799771963
0.2024,0.01,0.0737136960047179
0.2262,0.01,0
0.25,0.01,0.0737136960047179
0.2738,0.01,0.0368568480023589
0.2976,0.01,0.0737136960047179
0.321425,0.01,0
0.34525,0.01,0.110570544007077
0.36905,0.01,0.0368568480023589
0.39285,0.01,0
0.41665,0.01,0.0737136960047179
0.440475,0.01,0.0367795799771963
0.4643,0.01,0.0368568480023589
0.4881,0.01,0.0737136960047179
0.511925,0.01,0.110338739931589
0.53575,0.01,0.0368568480023589
0.5596,0.01,0
0.5835,0.01,0.0367026352492108
0.607425,0.01,0.0366260117935761
0.6314,0.01,0.036549707602339
0.655475,0.01,0
0.67965,0.01,0.0724952878062932
0.7039,0.01,0.0721969532885716
0.728275,0.01,0.0717540271947754
0.752775,0.01,0
0.777425,0.01,0.0354421407052985
0.802225,0.01,0
0.8272,0.01,0.0698958551757877
0.852375,0.01,0
0.877725,0.01,0.0344673077585915
0.9033,0.01,0.0682640453273257
0.9291,0.01,0.0677369098421735
0.95515,0.01,0
0.98145,0.01,0
1.008025,0.01,0.065584522052796
1.0349,0.01,0.0324886289798574
1.062075,0.01,0.0320728695596395
1.089575,0.01,0.06344976364963
1.1174,0.01,0.0939849624060142
1.145575,0.01,0.030941551409388
1.1741,0.01,0
1.203,0.01,0
1.232325,0.01,0
1.262075,0.01,0.0585771607650174
1.29225,0.01,0
1.322875,0.01,0.0568682646649037
1.35395,0.01,0.028025334902752
1.3855,0.01,0.0551693699657957
1.417575,0.01,0
1.450175,0.01,0.0267029827231698
1.4833,0.01,0
-1.4986,0.03,0
-1.46125,0.03,0.0237721675462371
-1.424775,0.03,0
-1.38915,0.03,0.049840510366826
-1.354325,0.03,0.0509255722761186
-1.32025,0.03,0
-1.2869,0.03,0
-1.254225,0.03,0
-1.2222,0.03,0.0276717029165974
-1.190825,0.03,0
-1.16005,0.03,0
-1.1298,0.03,0.0292397660818713
-1.1001,0.03,0.0298364960019097
-1.070925,0.03,0.0303002757325091
-1.042225,0.03,0.0308327937594427
-1.014,0.03,0
-0.986375,0.03,0.0321905681635281
-0.9593,0.03,0
-0.932575,0.03,0
-0.906175,0.03,0
-0.880075,0.03,0
-0.85425,0.03,0
-0.8287,0.03,0
-0.8034,0.03,0
-0.7783,0.03,0.0350877192982456
-0.7534,0.03,0
-0.7287,0.03,0
-0.704175,0.03,0
-0.6798,0.03,0.0360984766442853
-0.655575,0.03,0
-0.63145,0.03,0
-0.6074,0.03,0
-0.58345,0.03,0
-0.559575,0.03,0
-0.535725,0.03,0
-0.5119,0.03,0
-0.4881,0.03,0
-0.4643,0.03,0
-0.440475,0.03,0
-0.41665,0.03,0.0368568480023589
-0.39285,0.03,0.073713696004717
-0.36905,0.03,0.0368568480023589
-0.34525,0.03,0
-0.321425,0.03,0
-0.2976,0.03,0
-0.2738,0.03,0.073713696004717
-0.25,0.03,0
-0.2262,0.03,0.0368568480023589
