"","x","y","subscripts"
"1",1,1,766
"2",2,0.00994589229461811,767
"3",3,-0.0228240802602958,768
"4",4,0.00583541442583116,769
"5",5,0.009477586198858,770
"6",6,-0.00716666132446642,771
"7",7,0.000711894928699057,772
"8",8,-0.0192581635248707,773
"9",9,0.0011448076800658,774
"10",10,0.00887886999758396,775
"11",11,-0.00628954290121689,776
"12",12,-0.00438664097971822,777
"13",13,-0.00544099954157674,778
"14",14,-0.00784996053391449,779
"15",15,0.00325276697072223,780
"16",16,0.000102746491783751,781
"17",17,0.00249543721316859,782
"18",18,0.00445291232051541,783
"19",19,0.00373837614174761,784
"20",20,-0.0170192460219021,785
"21",21,-0.00954892296077824,786
"22",22,0.00289681544484566,787
"23",23,-0.00603043544388648,788
"24",24,0.0123960137114665,789
"25",25,0.00520719734518669,790
"26",26,0.00498994264034064,791
"27",27,0.0139571270264596,792
"28",28,0.00501094439663946,793
"29",29,-0.000286854668811597,794
"30",30,-0.0119776430741469,795
"31",31,-0.0023471551463102,796
"32",32,0.0130707815682967,797
"33",33,0.00859091479520153,798
"34",34,-0.0225838389055309,799
"35",35,-0.0145854230876459,800
"36",36,0.00139236241027175,801
"37",37,0.00532886877531198,802
"38",38,0.0021868546709303,803
"39",39,0.00471581274611967,804
"40",40,0.00105942424542461,805
"41",41,0.00536173159628281,806
"42",42,0.00439918754058251,807
"43",43,-0.00120917589843203,808
"44",44,0.000260841217139512,809
"45",45,-0.00349057334970059,810
"46",46,0.0141213524360803,811
"47",47,-0.000308527452920957,812
"48",48,0.0131863228813924,813
"49",49,-0.00269563176990841,814
"50",50,0.0126650777163627,815
"51",51,0.00140764290723874,816
"52",1,1,817
"53",2,0.0343986607382146,818
"54",3,-0.0233396021311361,819
"55",4,-0.0158326913590675,820
"56",5,-0.0135703430040557,821
"57",6,0.00722240841965982,822
"58",7,-0.00483616973087073,823
"59",8,0.000174042285645447,824
"60",9,0.00612182193990597,825
"61",10,-0.0136177921715213,826
"62",11,-0.00148606323170633,827
"63",12,-0.0166193408032541,828
"64",13,-0.0138279934803205,829
"65",14,-0.0134184113541278,830
"66",15,-0.00536316434396233,831
"67",16,-0.00758774993979877,832
"68",17,0.0049334518331297,833
"69",18,-0.00547819831631735,834
"70",19,0.000475795556065154,835
"71",20,0.00490566017924536,836
"72",21,0.000503410243700717,837
"73",22,0.00482395792382397,838
"74",23,0.00511195503866434,839
"75",24,0.0100046407658204,840
"76",25,0.0039743689578583,841
"77",26,-0.00294743324709011,842
"78",27,0.00371089324866102,843
"79",28,-0.0153555497655982,844
"80",29,0.0169711596448437,845
"81",30,-0.00370295849935184,846
"82",31,-0.00976573568730776,847
"83",32,0.0135299208771641,848
"84",33,0.00698757315507102,849
"85",34,0.0155228507805605,850
"86",35,0.0100479725456475,851
"87",36,0.0129622916085303,852
"88",37,0.0113035935140618,853
"89",38,0.0053395248756161,854
"90",39,0.0182587707283755,855
"91",40,-0.0117221920664801,856
"92",41,0.000128685191656745,857
"93",42,-0.0051322083993948,858
"94",43,0.0123752978791192,859
"95",44,0.0123109761654704,860
"96",45,-0.00212672861781971,861
"97",46,-0.0267113306563949,862
"98",47,0.00774493816660895,863
"99",48,-0.00541319131877292,864
"100",49,-0.0119485676143071,865
"101",50,-0.00223072963665295,866
"102",51,-0.00310193743497962,867
"103",1,1,868
"104",2,-0.0621944010115245,869
"105",3,-0.00195724526768094,870
"106",4,-0.0168904320052151,871
"107",5,-0.00301465720276349,872
"108",6,0.034899049525677,873
"109",7,-0.0108060306947374,874
"110",8,-0.015953716509135,875
"111",9,0.00508209848543659,876
"112",10,0.00699273577657738,877
"113",11,-0.00311816089204514,878
"114",12,-0.0118161424285164,879
"115",13,-0.00046400871783171,880
"116",14,0.0108441228479035,881
"117",15,0.00186730040315079,882
"118",16,-0.0114164308475971,883
"119",17,-0.00603166401145014,884
"120",18,0.00061462106558152,885
"121",19,-0.00441677746937116,886
"122",20,0.00890277874860411,887
"123",21,0.0132355597206931,888
"124",22,-0.000724065644127395,889
"125",23,-0.0194324906964559,890
"126",24,0.0179788848361498,891
"127",25,-0.0218767224823734,892
"128",26,-0.0124049118801887,893
"129",27,0.0112951313824816,894
"130",28,0.00102152229827609,895
"131",29,-0.00167969714908573,896
"132",30,0.013058601078747,897
"133",31,-0.0050784823079496,898
"134",32,-0.00832666398296238,899
"135",33,0.00342700313003663,900
"136",34,0.0114460500586361,901
"137",35,-0.00734438157803164,902
"138",36,0.0224444156518271,903
"139",37,0.000846270788265943,904
"140",38,-0.000563633622484508,905
"141",39,-0.0162444487018152,906
"142",40,0.0126492740398152,907
"143",41,0.00405446842111042,908
"144",42,-0.00894357739944553,909
"145",43,-0.00959561373635755,910
"146",44,-0.004422291451262,911
"147",45,0.00204841911957022,912
"148",46,-0.00665616536822735,913
"149",47,4.04772223754078e-05,914
"150",48,0.00488894671475184,915
"151",49,0.000545487760579483,916
"152",50,-0.0133042080460095,917
"153",51,-0.013690798312384,918
